,alpha,beta_mercado,beta_tamanho,beta_valor,beta_liquidez,beta_momentum,beta_beta,tvalue_alpha,tvalue_mercado,tvalue_tamanho,tvalue_valor,tvalue_liquidez,tvalue_momentum,tvalue_beta,pvalue_alpha,pvalue_mercado,pvalue_tamanho,pvalue_valor,pvalue_liquidez,pvalue_momentum,pvalue_beta,fvalue,f_pvalue,R_squared_adj
2012-12-20,-0.06553125498272869,0.8156816294484934,0.6834198943298413,1.0495867186835521,-0.2515809857554496,1.2088851456054646,1.2686017616030911,-6.051289686921836,7.169564876794376,5.412776508167714,7.164035198828361,-2.3625979477328936,6.42251752540659,6.3366501719477615,0.1042617060289135,0.08822557468824575,0.11630289475096103,0.0882928034814245,0.25490151751012036,0.09833352261662394,0.09964451511514658,18.437334584185066,0.1764119129671381,0.9372894760145615
2012-12-21,-0.001978556313267944,0.2501619939231762,-0.11050074834522398,0.12800225993553987,0.22823377704219353,0.05199531774275332,-0.21749094838814007,-21267817487800.85,168959517328524.03,-95151716705584.88,84819795909369.66,82032005710737.58,32264998078994.594,-147683549543274.66,2.2924610833944395e-40,4.572174165656234e-43,2.559887393315421e-42,3.613924510663938e-42,3.9950365319596395e-42,6.56562108672607e-41,6.8465909239654366e-43,1.963888567133566e+28,5.733640559709044e-43,1.0
2012-12-24,0.012723857829624293,-0.0397263794923894,-0.2852092942586874,-0.1513816656224748,0.32264570197277503,-0.18542601497497754,-0.50677866072243,1.0907401859676795,-0.14960157839267707,-1.6495310122943772,-0.6670903703779812,0.9040365945880459,-0.9473423988403809,-1.600249372654258,0.31724095265767915,0.8859809935851979,0.15013271725499558,0.5295189996871315,0.400815332012289,0.38003952690967147,0.16066099195895206,1.7399271515679282,0.25886465534461095,0.27005358560153825
2012-12-26,0.012723857829624293,-0.0397263794923894,-0.2852092942586874,-0.1513816656224748,0.32264570197277503,-0.18542601497497754,-0.50677866072243,1.0907401859676795,-0.14960157839267707,-1.6495310122943772,-0.6670903703779812,0.9040365945880459,-0.9473423988403809,-1.600249372654258,0.31724095265767915,0.8859809935851979,0.15013271725499558,0.5295189996871315,0.400815332012289,0.38003952690967147,0.16066099195895206,1.7399271515679282,0.25886465534461095,0.27005358560153825
2012-12-27,0.0030622631169678746,0.12106660036735012,-0.0036147336881353492,0.11514277100988962,0.14403165415050018,-0.031249374672611994,-0.20484810603302567,0.45466361178214393,0.8563560040592606,-0.047917793337327236,0.9425414273282632,1.033410538503727,-0.2827939067938804,-1.4592004633042552,0.6653373040939213,0.4246754415350634,0.9633369479127589,0.3823009089750978,0.34125532683091014,0.7868376117500246,0.19479546678904563,1.7239778371445211,0.26231690337771874,0.26577963567554175
2012-12-28,-0.005559982497772521,0.42383796329373824,0.06872704532612937,0.16375177277256744,0.20008436669178897,0.12451758277613795,-0.10655603257958039,-0.6815442029507698,2.508877494585275,0.8425000361655116,0.8628063247885296,0.6303597926797118,0.9537544902163684,-0.39030454579123597,0.5110020640535902,0.030972123295356487,0.41920194883384676,0.40845968534776844,0.5425949194966531,0.36269341866099114,0.7044962137937044,1.7153350020876217,0.21492853308800416,0.21151231493954437
2012-12-31,-0.005559982497772521,0.42383796329373824,0.06872704532612937,0.16375177277256744,0.20008436669178897,0.12451758277613795,-0.10655603257958039,-0.6815442029507698,2.508877494585275,0.8425000361655116,0.8628063247885296,0.6303597926797118,0.9537544902163684,-0.39030454579123597,0.5110020640535902,0.030972123295356487,0.41920194883384676,0.40845968534776844,0.5425949194966531,0.36269341866099114,0.7044962137937044,1.7153350020876217,0.21492853308800416,0.21151231493954437
2013-01-02,-0.006841310577233028,0.38307369418746706,0.0764908103643339,0.1309704854677918,0.19139788232107036,0.1473973954303273,-0.12506530795906942,-0.6646357279254292,1.624607109330361,0.7868026982906665,0.5631457447460677,0.45460994134790245,0.8595803754974612,-0.38691543004525025,0.5249748252611464,0.1429007795712614,0.45407205997995026,0.5887664898530345,0.6614716985786793,0.41503439190313574,0.7089078113420213,1.0712781560246805,0.4506142627669066,0.02964227541128084
2013-01-03,-0.002873059943233415,0.2988406794041108,0.0875141768658219,0.02413464284787481,0.23160854392433117,0.10089351239668243,-0.05161012716543581,-0.3903192576089785,1.750730832919409,1.0311967753056954,0.12560426141507522,0.8323208640995723,0.8884273172147019,-0.20386627462701776,0.7044856783633862,0.1105501646225143,0.3267437684491187,0.9025345094233608,0.4246585417045162,0.3951783973248646,0.842546987695268,0.9949616614509816,0.47801429033408593,-0.0018929534585250263
2013-01-04,0.013522708211457646,0.4462075452461824,0.04092055220649118,-0.04828315571882452,0.13995694177970971,-0.12249661701146203,0.0703495495177813,2.4747496847198063,5.167397428403646,0.8749496169274122,-0.440091408619484,0.8795092951464096,-1.6027611786112061,0.4314488222882588,0.029238001753179626,0.00023415609848581218,0.39877522736075277,0.6676931066099692,0.39639631942353504,0.134967777025715,0.6737916126603223,7.154793169519873,0.0020129586229910867,0.6723028096376603
2013-01-07,0.013522708211457646,0.4462075452461824,0.04092055220649118,-0.04828315571882452,0.13995694177970971,-0.12249661701146203,0.0703495495177813,2.4747496847198063,5.167397428403646,0.8749496169274122,-0.440091408619484,0.8795092951464096,-1.6027611786112061,0.4314488222882588,0.029238001753179626,0.00023415609848581218,0.39877522736075277,0.6676931066099692,0.39639631942353504,0.134967777025715,0.6737916126603223,7.154793169519873,0.0020129586229910867,0.6723028096376603
