,alpha,beta_mercado,beta_tamanho,beta_valor,beta_liquidez,beta_momentum,tvalue_alpha,tvalue_mercado,tvalue_tamanho,tvalue_valor,tvalue_liquidez,tvalue_momentum,pvalue_alpha,pvalue_mercado,pvalue_tamanho,pvalue_valor,pvalue_liquidez,pvalue_momentum,fvalue,f_pvalue,R_squared_adj
2012-06-25,0.00030281987692771454,0.635847592931861,-0.3267172277660206,0.3264060550228459,0.556230166218066,0.3005092481523044,0.2882872332220855,6.549106491588572,-0.8356801005779831,0.6643842260021853,1.432547506466789,1.1275415531099182,0.7804550115979296,0.000178641634540514,0.42758680102641455,0.5251275621674139,0.18988108234203427,0.29219311061577735,13.62460137145277,0.000964973692705847,0.8292237716729196
2012-06-26,0.0002553572264877566,0.63270095336658,-0.23251055261034598,0.14006004359921553,0.47143245372183157,0.24387709682078074,0.2533038211514039,6.780218201218268,-0.6784944906336506,0.39001818838198116,1.3603854898963064,1.0208241278759116,0.805724709589712,8.083811125896533e-05,0.5145237806516874,0.7055927000750626,0.2068014476703906,0.3339927172141958,14.744294177180752,0.0004158789460023005,0.8307573614193835
2012-06-27,0.0007725250164114128,0.614275095696291,-0.18538960447424277,-0.12333618288821663,0.38830201460530456,0.14679199059877607,0.7116645656186005,6.924826682904321,-0.5727056392007486,-0.5168448322910292,1.3838838269798805,0.6898602256077061,0.4947043195088717,6.874199983845754e-05,0.5808674382974464,0.6177244645855289,0.19974694530045917,0.5076784254487241,12.107042459520526,0.0008834209954417724,0.7986631587449301
2012-06-28,0.0007692456831068844,0.6091019422427505,-0.45953497536708254,-0.11704381239104888,0.42182751861128714,0.015104651838149324,0.6670779997809579,6.665779088633656,-0.9440455039145258,-0.48110343993982047,1.4551079415993555,0.055149427842229246,0.5234930516906927,0.0001582006226307219,0.37278005176321216,0.6433258091380519,0.18372655868360885,0.9573718488175904,11.656260493977413,0.0016447327966451234,0.8038662561601568
2012-06-29,0.00028777326512808367,0.6545411726794024,-0.11525406123802165,-0.03984814033824277,0.37251966155405725,0.19038388790067312,0.24886417791628065,7.563260107776627,-0.4043040087080372,-0.16851930640164514,1.576685879971539,1.0635222350493265,0.8085024769750002,1.9186694983703788e-05,0.6945008441966514,0.8695344840265988,0.14594640482087207,0.312552274788403,13.709741889072715,0.00033160810778438027,0.8090356912810437
2012-07-02,0.0010643281697410596,0.6275907379108275,-0.2727721117666161,-0.16535825439828872,0.3647146529248395,0.08261586800860118,1.5458031377526555,8.21201252343553,-1.0791510589907933,-1.1377559766574634,1.6140080809261446,0.5723744234047502,0.14614147242083134,1.6773841213677075e-06,0.300136361065608,0.2757578432998774,0.13052516163870387,0.5768334392801382,20.19528953260796,1.0311347513732307e-05,0.8420726354517098
2012-07-03,0.0006718840222313311,0.5730869754988284,0.017121920383551596,-0.21364858993040708,0.16527747563014647,0.2495869147486331,0.6502097913029451,7.2375087588136555,0.06023876708112115,-0.9483422443919493,0.7342554929591845,1.38419574160677,0.5278089877835409,1.0321665096093248e-05,0.9529570791855809,0.36166313435386954,0.47689593957138876,0.1915003452179271,13.07834509925213,0.0001645604095451678,0.7803382740080994
2012-07-04,0.0007037562034570544,0.5740498301501025,0.0051166944303914965,-0.21631439863195806,0.1753507474485606,0.2416023984622926,0.7622567465405706,7.624316524963682,0.021693433707230838,-1.0092185921485086,0.9590402457897294,1.6427370984408733,0.45951422886850435,3.7709674885882536e-06,0.9830219409240033,0.3312860158884494,0.35503639178910773,0.12439272797320348,14.176790048385103,7.121687963179499e-05,0.7854178308474136
2012-07-05,0.0005408782671970649,0.5870450614290765,0.04020033089067617,-0.17937039984877667,0.1612336527742227,0.2687171859649507,0.48714683199388115,7.0758788086647435,0.16500848472625787,-0.7670257497449932,0.8780650887592375,1.7583075673656459,0.6342654363710469,8.34380697891248e-06,0.871475549808924,0.45677087188127696,0.39584716864262337,0.10219817932805803,11.852395325125073,0.00018077954854415373,0.7509063432729726
2012-07-06,0.0006889685034394196,0.5775789062009067,0.0244337381004849,-0.2033149510962125,0.16227124916352303,0.25518745492468475,0.8300128043604372,8.140776172317622,0.10948175942259258,-1.0077714315497062,0.9389731330575511,1.8364666031462935,0.41954594516428556,6.941645398656694e-07,0.9142716435567053,0.32954530190427445,0.3626195587267751,0.0861859433224006,16.64928251658247,1.1831386808985892e-05,0.79643022605918
2012-07-10,0.0008106950376427248,0.5829517059693397,-0.05700552868758496,-0.2293607228132134,0.1407779875743586,0.20184748946246525,1.354003733312433,8.60331552963167,-0.36260838642291154,-1.7062210556761257,0.927573214143573,2.117095880027,0.1924919759407276,8.571114532674692e-08,0.7211201664655982,0.10516101969720446,0.3659006930584866,0.048438100448058775,23.952440399740535,2.269553264201545e-07,0.8330456419372813
2012-07-11,0.00046683169752651237,0.5547731678061912,0.005858152436933086,-0.14709230611501467,0.09011456692257237,0.21370143648419437,0.737087220511906,7.608324306481611,0.034579064115178734,-1.0396200828897288,0.5481432870983818,2.0484705480503536,0.47007426438660305,3.5034950163699196e-07,0.9727760943780723,0.3115661488676137,0.589976358004719,0.054585845435286766,19.506534473303546,6.857446773539766e-07,0.794049175114466
2012-07-12,0.0007820260004008253,0.5872803438782467,0.08996429614735284,-0.17951010886644525,-0.04287877994136574,0.283697537016747,1.3301847017279305,8.111874491539528,0.5347931641514806,-1.324030981777475,-0.2647908992131031,2.6304080165422694,0.1992047106332454,1.3627434385453244e-07,0.5989963761856492,0.2012016960484116,0.794021806425306,0.01647857890095391,19.61032009658453,6.58157558465688e-07,0.794962222635294
