,alpha,beta_mercado,beta_tamanho,beta_valor,beta_liquidez,beta_momentum,tvalue_alpha,tvalue_mercado,tvalue_tamanho,tvalue_valor,tvalue_liquidez,tvalue_momentum,pvalue_alpha,pvalue_mercado,pvalue_tamanho,pvalue_valor,pvalue_liquidez,pvalue_momentum,fvalue,f_pvalue,R_squared_adj
2017-03-15,0.0005333466027579994,0.6847062793595391,-1.2334339588524812,0.20826207957022197,1.0304934131102634,0.03509572026705607,0.1372193830338197,1.3107290837868173,-1.064270179105242,0.3611481192014525,0.975094705540763,0.06111796728431815,0.8953462307450091,0.23788130518774017,0.32815041159746644,0.7303644690626158,0.36717125696169883,0.9532502537039653,1.9393820569042826,0.22168384794855403,0.2992251468209636
2017-03-16,0.004025158315025855,1.2665854537483097,-1.0482355275189383,-0.36699116829562517,2.059604013123148,-0.6125103331238486,0.8042532913815891,2.12429897528754,-0.7454714462500011,-0.606675750467622,1.4367034378711143,-0.9832541805637651,0.45193100893827576,0.07781983085315307,0.4841556152657347,0.566298168999259,0.2008285298019864,0.3634537559740096,1.6793318511281492,0.2721353635509623,0.23593385071678374
2017-03-17,0.0039200692291154,1.2710957218825247,-1.14117608342104,-0.33843704698122745,2.066561391016886,-0.6173250390305643,0.8481717399861086,2.2970186066622804,-0.9279469616845445,-0.6205666887753386,1.5525549837057546,-1.0677893175053295,0.424392364622871,0.05523322851874981,0.38431546707730435,0.5545432414957023,0.16447182839306762,0.32105044947224803,2.340686162025997,0.1490418471685011,0.3584064805104813
2017-03-20,0.002451557680729127,1.1279453492327236,-1.136627174465331,-0.34075909831834506,1.523453786873616,-0.5032830299490357,0.5953788985074661,2.2150088934216647,-0.9476590805617638,-0.6406535055965645,1.3763368349959297,-0.9224883560083129,0.5680461661985489,0.05762902556268331,0.37104557544860406,0.5396610006518782,0.2060089703638491,0.38325196933878936,2.3886157264078887,0.13120221377354088,0.34814477544530553
2017-03-21,0.002184483797037448,1.084678953019082,-1.1407429993107936,-0.15321371581993654,1.4047428536400797,-0.17000397572124204,0.49472555937975576,1.9876033829289181,-0.8861373224822264,-0.2757169773494381,1.1852984680914116,-0.3163207994719052,0.6326456596283799,0.0780975246619895,0.39860200244748867,0.7889915085763322,0.2662513874977408,0.7589723359349061,2.7375094411917438,0.08985137462771652,0.3829213941503996
2017-03-22,0.002148370320934923,1.3129284008919517,-0.870094619817295,-0.24866337837496455,1.7629540640854602,-0.46345450996496135,0.4876477007931511,2.297731277895133,-0.701012895730196,-0.4576693289679062,1.2912782522748483,-0.889025667211046,0.6374580138955003,0.04717418295215328,0.5010162232845665,0.6580383388953008,0.22878463245809458,0.39712854795749586,2.6494229858158747,0.09675766273948357,0.37070491860944654
2017-03-23,0.0023472348649128277,1.3672485519627693,-0.7696460887178588,-0.27767435421870956,1.774422579961143,-0.5016053802071287,0.5738583835706931,2.826952401140997,-0.7074964011136985,-0.5559433878988119,1.3677931302867317,-1.0805316057394554,0.5787411730777543,0.017945451150947464,0.49541569131358865,0.5904707017666916,0.2013266468427091,0.3052754609445765,3.1282548294601478,0.058835280361787784,0.41500566961571783
2017-03-24,0.0010620645386467957,1.1681750896559904,-0.8187908015038843,-0.3392103945724994,1.5693622659354791,-0.6606060939864336,0.31479165242947105,2.8156371104765197,-0.8433562891933349,-0.773836863364619,1.6294950184972186,-1.5368795398676254,0.7588104310465708,0.01679826471306775,0.41699145721340947,0.45533695984790346,0.13148325051453036,0.15257388647389677,2.7934168712380885,0.07230881037354213,0.35915624861367157
2017-03-27,0.0025636293076929583,1.1123601891059545,-1.1626943624675063,-0.34103897943367406,1.6837777750863339,-0.8640338250067123,0.7238419572315662,2.7845015879716604,-1.225047962723592,-0.7900704748325991,1.858221628363294,-1.7268876931058026,0.48575100966397977,0.019301000071708766,0.2486290987778131,0.4478164681743436,0.09278541197151625,0.11489013635747089,2.9909262936770595,0.0660664235245591,0.3989091756773364
2017-03-28,0.0007878193138940193,1.1474212514263389,-0.6307069542955616,-0.11706356014823235,1.5692348644974534,-0.34695487830980987,0.2197260151686798,2.7896426663244145,-0.6504445590121309,-0.2670022383583673,1.5079547960541886,-0.8571925294973161,0.8294971401072408,0.015330606839653704,0.5267340618432323,0.7936561195931476,0.15547865853279014,0.40686360628569074,3.365117981288522,0.03610501508831242,0.3964914002887223
2017-03-29,0.0002301098162724594,1.0692614528509,-0.6540816225682018,-0.06758655532142649,1.4600698023598737,-0.3437522097329828,0.06824204477487468,2.8182715415355757,-0.6916890036355161,-0.16099823804683275,1.4614658854410483,-0.8701887950689697,0.9465580391412098,0.01367922773690451,0.5004434014946845,0.8743949466000065,0.1659681920342655,0.39887222514903564,3.6857037401978867,0.024481202348698765,0.4140959636426351
2017-03-30,-0.00022567580704624518,0.9879334153078021,-0.6287955954759651,-0.207964564592028,1.227767847424103,-0.4856299947318687,-0.08166068143305541,2.9548808959970416,-0.7617019712935503,-0.5569954073895382,1.5570653889124182,-1.3164892645747834,0.935996222395619,0.009835367433111279,0.4580475057078863,0.585746234290979,0.1402992635795435,0.2077717939047202,3.1778816122350566,0.037398920887737934,0.35252886813529183
2017-03-31,0.0008538792997694843,0.9251270118713072,-0.8389365329228969,-0.19266598281941022,1.2335536034366348,-0.5744711770191864,0.29726988302263985,2.739853638890144,-1.036333882360051,-0.5106322251702499,1.703112993044924,-1.3487519544218338,0.7706256605394853,0.015959714001774858,0.31761594517154124,0.6175650993864892,0.11063378387024812,0.19883038657384938,3.0406234836729196,0.04597179572132133,0.34938452878829607
