,alpha,beta_mercado,beta_tamanho,beta_valor,beta_liquidez,beta_momentum,tvalue_alpha,tvalue_mercado,tvalue_tamanho,tvalue_valor,tvalue_liquidez,tvalue_momentum,pvalue_alpha,pvalue_mercado,pvalue_tamanho,pvalue_valor,pvalue_liquidez,pvalue_momentum,fvalue,f_pvalue,R_squared_adj
2020-03-27,0.001982084218375628,0.2851701027989706,0.05219171154906854,0.10012364248065701,0.0022150435584092423,-0.022221703575006996,7.011706395801092,9.292048395146503,0.6319918748907871,2.1806771166903065,0.027639150026991546,-0.5128224958828409,3.789949602193507e-12,6.246952792134032e-20,0.5275043446428138,0.029387754162657764,0.9779542380391832,0.6081634289216975,27.16677381945349,3.3715844255159415e-26,0.09188843722352114
2020-03-30,0.001995606533083113,0.28541177161857656,0.042608439312323054,0.10263184785830175,0.005765442350812492,-0.02793024182259435,7.061769735755202,9.297146951803265,0.5177099833879877,2.2364403936633863,0.07195699805272307,-0.6474629092188768,2.680898939366361e-12,5.966292125387826e-20,0.6047494673714663,0.025493451758786038,0.9426472925620907,0.5174476839282087,27.412847509273465,1.9518936144485456e-26,0.09260749555966163
2020-03-31,0.001995606533083113,0.28541177161857656,0.042608439312323054,0.10263184785830175,0.005765442350812492,-0.02793024182259435,7.061769735755202,9.297146951803265,0.5177099833879877,2.2364403936633863,0.07195699805272307,-0.6474629092188768,2.680898939366361e-12,5.966292125387826e-20,0.6047494673714663,0.025493451758786038,0.9426472925620907,0.5174476839282087,27.412847509273465,1.9518936144485456e-26,0.09260749555966163
2020-04-01,0.001995606533083113,0.28541177161857656,0.042608439312323054,0.10263184785830175,0.005765442350812492,-0.02793024182259435,7.061769735755202,9.297146951803265,0.5177099833879877,2.2364403936633863,0.07195699805272307,-0.6474629092188768,2.680898939366361e-12,5.966292125387826e-20,0.6047494673714663,0.025493451758786038,0.9426472925620907,0.5174476839282087,27.412847509273465,1.9518936144485456e-26,0.09260749555966163
2020-04-02,0.001995606533083113,0.28541177161857656,0.042608439312323054,0.10263184785830175,0.005765442350812492,-0.02793024182259435,7.061769735755202,9.297146951803265,0.5177099833879877,2.2364403936633863,0.07195699805272307,-0.6474629092188768,2.680898939366361e-12,5.966292125387826e-20,0.6047494673714663,0.025493451758786038,0.9426472925620907,0.5174476839282087,27.412847509273465,1.9518936144485456e-26,0.09260749555966163
2020-04-03,0.001995606533083113,0.28541177161857656,0.042608439312323054,0.10263184785830175,0.005765442350812492,-0.02793024182259435,7.061769735755202,9.297146951803265,0.5177099833879877,2.2364403936633863,0.07195699805272307,-0.6474629092188768,2.680898939366361e-12,5.966292125387826e-20,0.6047494673714663,0.025493451758786038,0.9426472925620907,0.5174476839282087,27.412847509273465,1.9518936144485456e-26,0.09260749555966163
2020-04-06,0.0020121801802661186,0.28804266270279916,0.04230236388322724,0.1023140131141497,0.001408063387101241,-0.02797272146733667,7.112461529485552,9.376169435280142,0.5132339142011985,2.226238228714514,0.017553158316608863,-0.647491596063955,1.883935257998168e-12,2.9630644665890026e-20,0.607875586984641,0.026170417026237548,0.9859980395391332,0.5174290400793016,27.952002471351303,5.916323720572299e-27,0.09425358884853952
2020-04-07,0.001995606533083113,0.28541177161857656,0.042608439312323054,0.10263184785830175,0.005765442350812492,-0.02793024182259435,7.061769735755202,9.297146951803265,0.5177099833879877,2.2364403936633863,0.07195699805272307,-0.6474629092188768,2.680898939366361e-12,5.966292125387826e-20,0.6047494673714663,0.025493451758786038,0.9426472925620907,0.5174476839282087,27.412847509273465,1.9518936144485456e-26,0.09260749555966163
2020-04-08,0.001994966655930547,0.28505368352863614,0.04280548672643368,0.10269353165606451,0.005294358181807821,-0.028337271012915773,7.063273125353474,9.326800751272183,0.5203911311911388,2.238757958893049,0.06617070458233647,-0.6588939614696534,2.652129247106494e-12,4.5878620740822046e-20,0.602880288239888,0.025341639616575876,0.9472521732235859,0.5100814520885265,27.51691153378309,1.5470767306419893e-26,0.09287334817169146
2020-04-09,0.001994966655930547,0.28505368352863614,0.04280548672643368,0.10269353165606451,0.005294358181807821,-0.028337271012915773,7.063273125353474,9.326800751272183,0.5203911311911388,2.238757958893049,0.06617070458233647,-0.6588939614696534,2.652129247106494e-12,4.5878620740822046e-20,0.602880288239888,0.025341639616575876,0.9472521732235859,0.5100814520885265,27.51691153378309,1.5470767306419893e-26,0.09287334817169146
2020-04-13,0.001994966655930547,0.28505368352863614,0.04280548672643368,0.10269353165606451,0.005294358181807821,-0.028337271012915773,7.063273125353474,9.326800751272183,0.5203911311911388,2.238757958893049,0.06617070458233647,-0.6588939614696534,2.652129247106494e-12,4.5878620740822046e-20,0.602880288239888,0.025341639616575876,0.9472521732235859,0.5100814520885265,27.51691153378309,1.5470767306419893e-26,0.09287334817169146
