,DMMO3,BEES3,BRML3,MSPA4,OIBR3,BRIV4,AFLT3,TRPL4,MTIG3,RAPT4,HBRE3,WHRL4,LIPR3,PATI3,PETZ3,GOAU4,BRGE8,FIGE4,HBOR3,MEND6,SCAR3,ALUP4,LHER3,WEST3,CTKA4,CESP3,CYRE3,CURY3,ABCB4,BSLI4,PRNR3,POMO3,ENEV3,CRPG5,SIMH3,HGTX3,GPCP4,LLIS3,ALUP3,PTBL3,JPSA3,CEAB3,PSSA3,GEPA4,TAEE3,BEES4,CTNM3,ELET5,VLID3,EQTL3,ITUB3,CEBR6,VIVT3,USIM6,RAIL3,BRPR3,MMXM3,CAMB3,MDNE3,MDIA3,USIM5,FLRY3,EEEL3,ROMI3,TKNO3,VULC3,OIBR4,PARD3,TIMS3,STBP3,TESA3,GNDI3,BRSR3,NTCO3,TASA3,CTSA3,EUCA4,DTEX3,BRAP4,TIET3,RDNI3,LHER4,RPAD5,MTIG4,ITUB4,FRAS3,ENMT4,BMIN4,CRIV4,SNSY5,ELET6,NORD3,PTNT3,CASN4,BALM3,MMAQ3,GOAU3,CLSC4,MULT3,PGMN3,CSRN3,DOHL4,SOND6,OFSA3,DMVF3,ENGI4,BMEB4,CTSA4,BAHI3,BMGB4,OPCT3,CLSC3,SEQL3,CESP6,CRDE3,JALL3,ASAI3,GMAT3,B3SA3,WLMM4,FRTA3,BRDT3,TKNO4,CRPG3,BBDC4,INTB3,RADL3,MYPK3,TCNO3,CSAN3,NEOE3,BAUH3,CNTO3,RPMG3,PEAB4,BRAP3,CGAS5,IGTA3,EQPA6,NGRD3,BMOB3,RNEW4,PNVL4,CRIV3,BPAC5,BRGE6,MOVI3,GGBR3,TGMA3,EGIE3,CPLE6,RSID3,MWET4,LAME4,CGAS3,WIZS3,RNEW3,CSMG3,SOND5,CEEB3,COCE6,AZEV4,TRIS3,LJQQ3,EKTR4,RDOR3,JSLG3,AERI3,SHUL3,FHER3,CTKA3,MELK3,LEVE3,TAEE4,PATI4,MRVE3,PMAM3,BIOM3,SULA3,CSED3,USIM3,ENGI3,MEAL3,GFSA3,CARD3,TFCO4,BAUH4,MAPT3,BRKM3,CEPE6,INEP3,RPAD3,MERC4,SLED4,PLPL3,PTNT4,APER3,DASA3,EALT3,JBDU4,TIET4,SUZB3,BRFS3,ENMT3,CTNM4,SANB3,CGRA3,ATOM3,TPIS3,RCSL3,BMIN3,TEKA4,CPLE3,SMLS3,MRFG3,CSAB4,TECN3,LOGG3,GPCP3,MAPT4,EQPA3,CRPG6,BRSR5,CALI4,RCSL4,WEGE3,IRBR3,CVCB3,PEAB3,ELMD3,INEP4,HAPV3,JHSF3,EMAE4,CEPE5,CESP5,EQPA7,POWE3,LUXM4,PNVL3,FESA4,TCNO4,EQPA5,CSAB3,PINE4,LREN3,PPAR3,PFRM3,MNDL3,POMO4,CSRN6,GEPA3,SULA4,CSRN5,TUPY3,SANB4,PLAS3,MMAQ4,SQIA3,BRIV3,ECPR4,GRND3,RSUL4,LUPA3,UNIP3,LAVV3,AALR3,KLBN4,CCRO3,EZTC3,MSPA3,EALT4,CEED3,CGRA4,BBSE3,RENT3,SMTO3,CCPR3,VIVA3,MGEL3,CORR3,ALPK3,BEEF3,ECOR3,COCE5,BTTL3,OSXB3,GSHP3,LPSB3,BOBR3,BRKM5,AHEB6,ITSA3,JFEN3,QUAL3,ODER4,BSLI3,AHEB5,MERC3,BMKS3,CAMB4,SAPR4,VVAR3,DOHL3,PDTC3,BDLL4,BRSR6,ENJU3,KEPL3,EMBR3,HAGA4,EUCA3,HETA4,LWSA3,EMAE3,JOPA4,ALPA4,MTSA3,COCE3,ABEV3,ITSA4,CORR4,UCAS3,BTOW3,NUTR3,YDUQ3,CPFE3,BBDC3,AHEB3,CPLE5,SGPS3,BBAS3,EKTR3,HOOT3,BIDI3,BALM4,ALSO3,LUXM3,CSNA3,CASH3,GUAR3,FIGE3,BSEV3,TRPL3,ATMP3,ORVR3,VIVR3,LCAM3,AZUL4,CAML3,AGRO3,AVLL3,BGIP4,CIEL3,CALI3,PRIO3,BIDI4,ALPA3,ECPR3,MTSA4,GGBR4,SLCE3,TASA4,ODPV3,BMEB3,TXRX4,BOAS3,BPAC3,JBSS3,BGIP3,PETR4,RANI3,LINX3,LAME3,TCSA3,HOOT4,AMAR3,ARZZ3,AZEV3,BNBR3,CBEE3,TELB4,LIGT3,GPAR3,BKBR3,RRRP3,MILS3,KLBN3,DTCY3,HBTS5,OMGE3,COGN3,FRIO3,SLED3,TEND3,ELET3,RPAD6,CMIN3,CRFB3,SHOW3,DIRR3,MEND3,TXRX3,SOMA3,PDGR3,CASN3,TEKA3,ENBR3,LOGN3,MGLU3,VAMO3,BOBR4,TOTS3,BRKM6,HBSA3,CEDO3,CEBR3,VALE3,FESA3,CEBR5,CEEB5,TELB3,CMIG3,UNIP6,PCAR3,REDE3,MWET3,ANIM3,BPAN4,BRGE5,WHRL3,MGEL4,SHUL4,SEER3,MNPR3,UNIP5,ESTR4,PETR3,MTRE3,SAPR3,POSI3,HYPE3,SNSY3,EVEN3,HAGA3,GOLL4,CMIG4,VSPT3,CEDO4,MOSI3,JBDU3,BBRK3,CEGR3,MBLY3,CEED4,EEEL4,ETER3,RAPT3,UGPA3,AMBP3,IGBR3,ENAT3,ESPA3,MOAR3,BRGE3,BDLL3,BAZA3,JOPA3,SBSP3
2011-01-01,0,0,0,0,0,0,0,winner,0,loser,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,winner,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,loser,0,0,0,0,0,0,winner,0,0,winner,0,0,0,winner,0,0,winner,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,winner,0,winner,0,0,0,0,0,0,0,0,0,loser,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,loser,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,loser,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner
2012-01-01,0,0,loser,0,0,0,0,winner,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,loser,winner,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,winner,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,winner,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,winner,winner,0,0,loser,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,winner,0,0,0,0,0,0,loser,0,0,0,loser,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,loser,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,0,0,loser,0,0,0,0,0,0,winner,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,loser,0,0,0,winner,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,winner,0,0,0,0,0,loser,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,winner,0,0,loser,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,loser,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,winner,0,0,0,winner,0,0,loser,0,0,0,0,winner,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,loser,0,0,loser,0,0,0,0,winner,0,0,0,0,0,winner,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,winner,0,winner,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser
2014-01-01,0,0,loser,0,0,0,0,winner,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,winner,loser,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,loser,0,0,0,0,0,loser,0,loser,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,loser,loser,0,0,0,0,0,0,0,0,0,0,0,0,winner,winner,0,0,0,0,0,0,winner,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,winner,0,0,0,0,0,loser,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,winner,0,0,winner,0,0,0,0,winner,0,loser,0,winner,0,winner,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,loser,0,0,0,0,0,0,loser,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,loser,0,0,0,0,0,0,winner
2015-01-01,0,0,loser,0,0,0,0,winner,0,loser,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,winner,0,winner,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,winner,loser,0,winner,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,winner,loser,winner,0,0,0,0,0,winner,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,winner,0,0,0,0,0,0,loser,0,0,winner,loser,0,0,loser,0,loser,winner,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,loser,0,0,0,0,loser,0,0,winner,0,0,0,0,0,0,loser,0,loser,0,loser,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,winner,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser
2016-01-01,0,0,loser,0,0,0,0,winner,0,loser,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,loser,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,loser,loser,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,winner,0,0,0,0,0,0,0,loser,loser,0,winner,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,winner,loser,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,loser,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,winner,0,0,0,0,0,loser,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,loser,0,loser,0,winner,0,0,0,0,0,0,0,loser,0,0,0,loser,0,0,0,0,winner,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,winner,0,winner,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,winner,0,loser,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner
2017-01-01,0,0,winner,0,0,0,0,winner,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,winner,0,0,0,0,loser,loser,0,0,0,0,0,loser,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,winner,0,0,0,0,0,0,0,loser,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,winner,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,winner,0,0,0,0,0,0,winner,0,0,0,0,0,0,winner,0,0,0,0,0,0,winner,0,0,0,winner,0,0,0,0,0,0,winner,0,0,0,0,loser,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,loser,0,0,winner,0,0,0,0,winner,0,loser,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,winner,0,0,0,0,loser,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,winner,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,loser,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,loser
2018-01-01,0,0,0,0,0,0,0,winner,0,winner,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,winner,loser,0,0,0,0,loser,loser,0,0,0,winner,0,winner,0,0,0,0,loser,0,0,loser,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,loser,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,loser,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,loser,winner,0,0,0,0,0,winner,winner,0,0,0,0,0,loser,loser,0,0,0,0,0,0,loser,0,0,0,loser,0,0,0,0,0,0,winner,0,0,0,0,winner,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,winner,winner,0,0,0,0,0,0,winner,0,0,0,loser,0,0,0,loser,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,loser,0,0,winner,loser,0,0,0,0,loser,0,0,0,0,0,0,loser,0,winner,0,0,loser,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0
2019-01-01,0,0,0,0,loser,0,0,winner,0,winner,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,winner,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,loser,winner,0,0,0,winner,loser,loser,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,loser,0,0,0,0,0,0,0,loser,0,0,loser,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,winner,0,0,loser,loser,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,loser,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,0,loser,winner,0,0,0,0,0,winner,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,loser,0,0,0,loser,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,loser,0,0,winner,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,loser,0,0,0,0,0,0,loser,loser,loser,0,0,0,0,0,loser,0,loser,0,winner,0,0,0,loser,0,0,0,0,0,winner,0,winner,0,winner,0,0,0,0,loser,0,0,winner,0,0,0,winner,0,loser,0,0,0,0,0,0,winner,0,winner,0,0,loser,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,loser,0,winner,0,winner,winner,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,loser,0,0,0,0,0,0,winner
2020-01-01,loser,0,0,0,loser,0,0,loser,0,winner,0,0,0,0,0,winner,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,winner,0,0,loser,0,0,0,0,0,winner,0,0,0,0,0,loser,0,0,0,0,0,0,loser,0,0,0,winner,0,0,0,0,0,winner,0,0,0,0,0,winner,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,loser,0,0,loser,0,0,0,0,loser,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,winner,0,0,0,0,0,0,winner,winner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loser,loser,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,0,0,winner,0,0,0,0,winner,0,0,0,0,0,0,0,0,0,0,0,0,loser,0,winner,0,0,0,0,loser,0,0,0,0,0,0,0,loser,0,0,0,0,0,0,0,loser,0,0,0,loser,0,0,0,0,0,0,0,winner,0,0,0,loser,0,0,0,0,0,0,0,0,0,loser,0,0,loser,loser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,0,0,0,winner,winner,0,winner,0,0,0,loser,0,winner,loser,0,0,0,winner,winner,winner,loser,0,0,0,0,loser,0,loser,0,0,0,winner,0,0,0,0,0,0,0,winner,0,loser,0,winner,0,0,0,0,0,0,0,winner,loser,0,0,winner,0,winner,0,0,0,0,0,0,0,winner,loser,0,0,loser,0,0,0,0,loser,0,0,0,0,0,0,0,0,0,winner,winner,0,0,0,0,winner,0,0,0,0,0,0,winner,loser,0,winner,0,loser,loser,0,0,0,0,0,0,0,0,0,0,0,winner,0,0,winner,0,0,0,0,0,0,loser
