,0
2010-01-04,0.0
2010-01-05,
2010-01-06,0.0008179103691508538
2010-01-07,
2010-01-08,0.01172478322455234
2010-01-11,0.008907372573265305
2010-01-12,-0.028535354079228425
2010-01-13,0.009390581647277498
2010-01-14,-0.0063056503010465136
2010-01-15,-0.004710206715649989
2010-01-18,0.006692863576961092
2010-01-19,-0.004228541354823527
2010-01-20,-0.009264893709812044
2010-01-21,0.017844352087002233
2010-01-22,-0.008248853343586458
2010-01-25,-0.0021949682531498997
2010-01-26,0.0
2010-01-27,0.009196667187620204
2010-01-28,0.0013888049911305001
2010-01-29,0.009333995452700411
2010-02-01,-0.0007678673132894582
2010-02-02,-0.015880521065608083
2010-02-03,-0.01510146083027201
2010-02-04,-0.008510184930910315
2010-02-05,0.014257136763324733
2010-02-08,0.00021668187133346353
2010-02-09,-0.00139216156272577
2010-02-10,-0.01721499976233032
2010-02-11,-0.010337897086727575
2010-02-12,-0.021887789032549707
2010-02-17,0.012447501470567092
2010-02-18,-0.004897491529825111
2010-02-19,0.00042459253719153746
2010-02-22,0.00046432087153678897
2010-02-23,-0.008325987373232323
2010-02-24,0.03952873647438571
2010-02-25,0.03644136218321917
2010-02-26,0.030348916024526926
2010-03-01,0.004052960278900119
2010-03-02,0.006270258425651914
2010-03-03,-0.013169193304412415
2010-03-04,0.002140593744474051
2010-03-05,-0.025969522867246866
2010-03-08,0.002225629783748335
2010-03-09,0.05185082375845215
2010-03-10,-0.006079777632362323
2010-03-11,
2010-03-12,-0.0009683832574107784
2010-03-15,0.011056451567559406
2010-03-16,-0.0008384828377750347
2010-03-17,0.012044495493864098
2010-03-18,0.014596660429084071
2010-03-19,-0.0033223971913224947
2010-03-22,0.0029518857386841603
2010-03-23,-0.0021761863719713826
2010-03-24,0.0036431287066805355
2010-03-25,0.015500963682284544
2010-03-26,-0.00024807404933716547
2010-03-29,0.007676011742207896
2010-03-30,-0.017702301148654422
2010-03-31,-0.00570105499759253
2010-04-01,-0.0014154129660009914
2010-04-05,
2010-04-06,-0.002423578449646845
2010-04-07,-0.0021729119443898957
2010-04-08,-0.014104921648479034
2010-04-09,-0.006158860950792486
2010-04-12,0.029029555700769035
2010-04-13,
2010-04-14,-0.0017531432805416578
2010-04-15,-0.0039504763053486045
2010-04-16,-0.004918571466031934
2010-04-19,
2010-04-20,-0.0080672302432731
2010-04-22,-0.004939027951848183
2010-04-23,
2010-04-26,0.04270417389674647
2010-04-27,-0.007311225370677341
2010-04-28,0.0005864479039881104
2010-04-29,0.0026636698087210186
2010-04-30,-0.011944657693157864
2010-05-03,-0.011878816989152597
2010-05-04,-0.002019528925313878
2010-05-05,0.011469457942569004
2010-05-06,0.01089842283415637
2010-05-07,-0.0037937613557343167
2010-05-10,-0.001983551976583389
2010-05-11,-0.012421159524095136
2010-05-12,0.0020530898667004242
2010-05-13,0.002955705601780703
2010-05-14,0.001719758069235447
2010-05-17,0.006610587424989982
2010-05-18,-0.016938693882324773
2010-05-19,0.01008794000008459
2010-05-20,0.0021693577490371936
2010-05-21,0.011773232910984045
2010-05-24,-0.011572396330649923
2010-05-25,0.002228938416655484
2010-05-26,0.007899804701227548
2010-05-27,-0.009065710565310315
2010-05-28,-0.00269976557595477
2010-05-31,0.03248914772495595
2010-06-01,0.0050369046494864195
2010-06-02,0.005293260391725371
2010-06-04,-0.020061828200151195
2010-06-07,0.0010988173690281659
2010-06-08,0.008913331756468478
2010-06-09,-0.0012620591198467075
2010-06-10,0.02051739602437373
2010-06-11,0.0016293299827229019
2010-06-14,-0.0019647712092140945
2010-06-15,-0.0012995069871161724
2010-06-16,-0.0020592801009613002
2010-06-17,-0.0077876465790771565
2010-06-18,-0.006056784055898125
2010-06-21,0.014197490779746365
2010-06-22,-0.006475548738922949
2010-06-23,0.0023069856485995978
2010-06-24,-0.015449885786802835
2010-06-25,0.005416590477430545
2010-06-28,-0.004863664790549508
2010-06-29,-0.014512372206254318
2010-06-30,1.1175281679215765
2010-07-01,0.0067092530417267975
2010-07-02,-0.0013511042695565996
2010-07-05,0.008769193626743355
2010-07-06,-0.023756519498219122
2010-07-07,0.17150146827038612
2010-07-08,-0.007343199089915096
2010-07-09,0.014252218596239742
2010-07-12,0.0
2010-07-13,-0.0017775033605511713
2010-07-14,-0.005585104063995788
2010-07-15,-0.0017208579522957589
2010-07-16,-0.0008493338722062682
2010-07-19,0.012995275812765038
2010-07-20,-0.01366160877608244
2010-07-21,-0.0007957599225767746
2010-07-22,0.01915125176506123
2010-07-23,-0.01164755195688056
2010-07-26,0.04629965299295044
2010-07-27,-0.004198736500733541
2010-07-28,-0.007887999151008003
2010-07-29,0.010179674710271447
2010-07-30,-0.00576897926228134
2010-08-02,-0.0024017954474586465
2010-08-03,-0.0115484386112263
2010-08-04,0.010528110033198802
2010-08-05,-0.0011786948852306892
2010-08-06,0.004074231295958472
2010-08-09,0.007897388884663029
2010-08-10,-0.007594609403047332
2010-08-11,0.004897965327455097
2010-08-12,0.0046127561458838805
2010-08-13,0.01417103053052187
2010-08-16,0.008853453320180497
2010-08-17,-0.0074120596146113205
2010-08-18,-0.005365908530325068
2010-08-19,-0.009948879511101141
2010-08-20,0.0027623739045137094
2010-08-23,-0.005434375532043974
2010-08-24,0.006251489895867511
2010-08-25,0.028200616499212225
2010-08-26,0.013385377279081189
2010-08-27,0.006591563475906495
2010-08-30,-0.01339154494815689
2010-08-31,-0.015668280770193988
2010-09-01,0.05379336444843573
2010-09-02,0.0018077404969651274
2010-09-03,0.027722018403171254
2010-09-06,0.01959695155279772
