,0
2010-01-04,0.0
2010-01-05,
2010-01-06,0.0005741012929462493
2010-01-07,
2010-01-08,-0.0020787219940312665
2010-01-11,-0.01777439120539074
2010-01-12,-0.04361741052812348
2010-01-13,-0.008584599879870113
2010-01-14,0.007054407180333323
2010-01-15,-0.007674701673794588
2010-01-18,-0.012221060427809443
2010-01-19,-0.019370886281506985
2010-01-20,-0.004623077711907599
2010-01-21,-0.00812631619595755
2010-01-22,-0.017965466331380322
2010-01-25,0.008289538144096128
2010-01-26,0.0
2010-01-27,0.01468828066890427
2010-01-28,0.01420962739132782
2010-01-29,-0.0007833704717769695
2010-02-01,0.0013567941151005417
2010-02-02,0.0044884742712232376
2010-02-03,0.01931723636930637
2010-02-04,-0.0032246031179749956
2010-02-05,-0.007656318516394575
2010-02-08,-0.0027039660230305813
2010-02-09,-0.004270887338601316
2010-02-10,-0.011371598768465038
2010-02-11,-0.007612534848076408
2010-02-12,-0.014976308578733975
2010-02-17,-0.0007165129038596563
2010-02-18,0.020892198212689783
2010-02-19,0.0006567757402199336
2010-02-22,0.012408271747279065
2010-02-23,-0.010747641269865514
2010-02-24,-0.0370643461297667
2010-02-25,-0.043714575062468855
2010-02-26,0.0019425249348911983
2010-03-01,-0.023631235456235085
2010-03-02,-0.013488293366314765
2010-03-03,-0.00816767066898748
2010-03-04,-0.009559871756267043
2010-03-05,-0.01382356328032443
2010-03-08,0.0060947176929138265
2010-03-09,-0.004986599566461032
2010-03-10,0.0038574391822590592
2010-03-11,-0.010631489371951582
2010-03-12,0.005370389434665399
2010-03-15,-0.005180449497601354
2010-03-16,0.0013325906788401645
2010-03-17,0.0029152533354308294
2010-03-18,0.0016586403001629
2010-03-19,-0.0005353367702674115
2010-03-22,-0.009823916989309633
2010-03-23,
2010-03-24,-0.006327533274478656
2010-03-25,0.0007178105176080668
2010-03-26,0.003989451199799401
2010-03-29,-0.008395999439431309
2010-03-30,-0.0005940124539870091
2010-03-31,0.0012867394456063715
2010-04-01,0.0023740149683857403
2010-04-05,0.003888729944773275
2010-04-06,0.0031558681331122613
2010-04-07,0.0012351245543071525
2010-04-08,-0.010128678406462303
2010-04-09,0.012536800967188429
2010-04-12,-0.0063364699581255155
2010-04-13,-0.01104886448073647
2010-04-14,0.017561861495339223
2010-04-15,0.0020250912705850692
2010-04-16,0.003119464870887719
2010-04-19,-0.003440315203078013
2010-04-20,0.0058936646394472155
2010-04-22,0.002961266437792793
2010-04-23,-0.005749373334693907
2010-04-26,-0.04797346172013201
2010-04-27,0.014983260648973153
2010-04-28,-0.005915341819340499
2010-04-29,-0.005475100263680758
2010-04-30,0.018865755104304004
2010-05-03,0.0012209486705732446
2010-05-04,0.0106988372071017
2010-05-05,0.0033761571430337353
2010-05-06,0.0009629083330233623
2010-05-07,-0.003304042484050449
2010-05-10,-0.00389094401875955
2010-05-11,0.01580744558183032
2010-05-12,-0.008208004688718611
2010-05-13,0.014363311079243579
2010-05-14,0.011206315259854292
2010-05-17,-0.009642355479275864
2010-05-18,0.009791582789874116
2010-05-19,-0.0060400268712428005
2010-05-20,-0.011485196046355027
2010-05-21,0.016880227741158778
2010-05-24,0.00454707591997373
2010-05-25,-0.007185945570591379
2010-05-26,-0.00060937072413602
2010-05-27,-0.000651348210335129
2010-05-28,0.004305781954563232
2010-05-31,-0.03784558562856119
2010-06-01,0.0015749828139677898
2010-06-02,0.0015237325607019726
2010-06-04,0.0013799645413167926
2010-06-07,0.008420128107589105
2010-06-08,-0.0004626997469673702
2010-06-09,-0.008083944717642202
2010-06-10,-0.00846427502330684
2010-06-11,-0.0017699568889171825
2010-06-14,0.011542010153757389
2010-06-15,-0.0018009181824739794
2010-06-16,0.002190949090651916
2010-06-17,-0.00795503040972344
2010-06-18,-0.004686184416051311
2010-06-21,0.01790377701608669
2010-06-22,0.0050900712717056595
2010-06-23,0.027512887667744755
2010-06-24,-0.007500738217695571
2010-06-25,-4.925943967183915e-05
2010-06-28,0.00025658607065907717
2010-06-29,-0.010157635067909227
2010-06-30,-0.0009142191599818689
2010-07-01,-0.006188713311004387
2010-07-02,0.007454901994652639
2010-07-05,0.016181466582664977
2010-07-06,-0.0032021549582815167
2010-07-07,0.24641276037784754
2010-07-08,0.014368652360902588
2010-07-09,-0.0044672961070135585
2010-07-12,0.0
2010-07-13,-0.0026223216422958107
2010-07-14,-0.002234565743184512
2010-07-15,0.0071716463670090744
2010-07-16,0.0026998573499264237
2010-07-19,0.0015612256201480693
2010-07-20,0.0071065303607022925
2010-07-21,-0.004691549903694275
2010-07-22,0.00517348746518748
2010-07-23,0.008189924651953073
2010-07-26,-0.05787222882230604
2010-07-27,0.008759239632508402
2010-07-28,-0.004961252936611651
2010-07-29,-0.010607429220042045
2010-07-30,0.007801497825044702
2010-08-02,-0.002822631410874502
2010-08-03,0.0015849187594691458
2010-08-04,-0.01148728688268853
2010-08-05,-0.009213584605786218
2010-08-06,-0.003736835912246967
2010-08-09,-0.0046231026892133865
2010-08-10,-0.0002908867148078654
2010-08-11,-0.002600863105251626
2010-08-12,-0.0001296164519260755
2010-08-13,-0.007256045004743557
2010-08-16,0.0037987321221920048
2010-08-17,0.0016199994796702553
2010-08-18,0.010943294389781017
2010-08-19,0.0020836299381735675
2010-08-20,-0.0027422499485834583
2010-08-23,-0.0007678157923652034
2010-08-24,-0.0012483984200611236
2010-08-25,-0.047633993235501215
2010-08-26,-0.003417245141992798
2010-08-27,0.00902057604356601
2010-08-30,0.005337078859902996
2010-08-31,0.010554459674656928
2010-09-01,-0.05558401152016421
