,fator_mercado,fator_tamanho,fator_valor,fator_liquidez,fator_momentum
2010-04-16,-0.0151967723,0.0027352022,-0.0021713534,0.0051314682,-0.0047723101
2010-04-19,-0.0026101638,-0.0044631916,-0.0108191604,-0.0023177559,-0.0093151974
2010-04-20,0.0041403300,-0.0009163336,-0.0023886333,-0.0016052553,0.0062979530
2010-04-22,-0.0015591125,0.0046569435,-0.0080798957,0.0007171244,0.0010113819
2010-04-23,0.0023021032,-0.0012406129,0.0003375415,0.0007634683,0.0027287896
2010-04-26,-0.0097788461,0.0068652043,0.0019088967,0.0086066164,-0.0027474896
2010-04-27,-0.0312367659,0.0118450895,-0.0058882590,0.0114274323,-0.0077556539
2010-04-28,0.0016123131,-0.0042705382,-0.0018226907,-0.0105557721,-0.0045708478
2010-04-29,0.0173391923,-0.0020957412,-0.0021005804,-0.0108252261,0.0065438435
2010-04-30,-0.0046375440,-0.0014534025,-0.0001701640,0.0012175188,-0.0016784514
2010-05-03,-0.0096816961,0.0066572716,-0.0008655582,0.0042538741,0.0071581658
2010-05-04,-0.0305970851,0.0086798221,-0.0030425563,0.0092220381,0.0035718959
2010-05-05,0.0001872329,-0.0079113720,-0.0024643270,-0.0100175450,-0.0026527126
2010-05-06,-0.0171375107,-0.0089311246,-0.0124856886,-0.0039410219,-0.0180721637
2010-05-07,-0.0057462594,-0.0193312950,-0.0139542054,-0.0108304042,-0.0257238336
2010-05-10,0.0337137990,0.0111810919,0.0125651360,-0.0053736307,0.0357342064
2010-05-11,-0.0130603192,0.0003995332,0.0020058984,0.0124281719,-0.0006319778
2010-05-12,0.0086830640,0.0064059095,0.0120333554,0.0035986993,-0.0002618851
2010-05-13,-0.0054240040,-0.0037264037,-0.0094256755,0.0018537412,-0.0153698726
2010-05-14,-0.0173232239,-0.0080315433,-0.0065774228,0.0030020084,-0.0195270628
2010-05-17,-0.0043870313,-0.0134593137,-0.0165484566,-0.0029345050,-0.0069449670
2010-05-18,-0.0258414987,0.0006491132,-0.0039407033,0.0040228739,-0.0088963453
2010-05-19,-0.0214820560,-0.0145218568,-0.0111125782,-0.0095680365,-0.0178858861
2010-05-20,-0.0281879101,0.0057389326,0.0034142844,-0.0023317263,0.0055226162
2010-05-21,0.0307070967,0.0103917699,-0.0007020757,-0.0024303701,0.0185785126
2010-05-24,-0.0051753339,-0.0067830356,-0.0024159551,-0.0019877860,-0.0019096415
2010-05-25,-0.0133618088,0.0063663498,-0.0041123135,-0.0007365812,-0.0027704602
2010-05-26,0.0124341380,-0.0020551030,0.0073488029,0.0067451876,0.0000447929
2010-05-27,0.0288888849,0.0120709781,0.0123260040,0.0125360750,0.0329879485
2010-05-28,-0.0017800822,0.0106345564,0.0059343306,0.0128146568,0.0020685894
2010-05-31,0.0207205415,-0.0056126686,0.0052759033,-0.0005670665,-0.0046150545
2010-06-01,-0.0190373212,0.0048052361,-0.0012441594,0.0058313627,0.0041333875
2010-06-02,0.0178672094,-0.0037916740,0.0032340046,-0.0014549773,0.0017167320
2010-06-04,-0.0163282268,0.0085208649,-0.0055538053,0.0082186889,-0.0075306781
2010-06-07,-0.0073107672,-0.0040228665,-0.0062282444,0.0045440560,-0.0149496337
2010-06-08,0.0072887260,0.0037203687,0.0095372982,-0.0051300600,0.0084862774
2010-06-09,-0.0040246747,0.0014833887,-0.0029857154,0.0107374368,-0.0037415614
2010-06-10,0.0199542306,-0.0079012867,0.0012439433,-0.0061545074,0.0080981515
2010-06-11,0.0054720710,0.0026434157,-0.0018435018,-0.0061919866,-0.0011900109
2010-06-14,-0.0031790389,0.0005799248,-0.0069672330,-0.0007045829,-0.0013932685
2010-06-15,0.0116862990,0.0030270452,0.0060664620,-0.0020434577,0.0147948507
2010-06-16,0.0051653734,-0.0016156975,0.0001166582,-0.0111742560,0.0037689249
2010-06-17,-0.0052594044,0.0047736834,-0.0049174502,0.0013063685,0.0021945848
2010-06-18,-0.0007002653,0.0024002339,0.0007702666,0.0029781067,-0.0040296311
2010-06-21,0.0078536887,-0.0017721667,0.0049289227,-0.0023950753,0.0017798016
2010-06-22,-0.0016198466,-0.0019401613,0.0000217757,-0.0029565000,0.0010392400
2010-06-23,0.0018629855,-0.0079435762,0.0117490320,-0.0056098681,-0.0011912121
2010-06-24,-0.0206360742,0.0064653633,0.0055125877,0.0048741540,0.0007098000
2010-06-25,0.0122204414,-0.0010468941,-0.0031406302,-0.0008862857,0.0037860526
2010-06-28,-0.0084034167,0.0121592041,-0.0061706007,0.0049982979,0.0082970541
2010-06-29,-0.0316989422,0.0008111503,-0.0077225585,0.0069327354,-0.0101836585
2010-06-30,-0.0159865953,0.0188586302,0.0025420734,0.0223239344,0.0035230448
2010-07-01,0.0095423348,-0.0092779938,-0.0015253193,-0.0042432421,0.0070530595
2010-07-02,0.0046080202,0.0085727181,0.0030297292,0.0069645611,0.0070138499
2010-07-05,-0.0102845132,0.0094096484,0.0000780891,0.0077802436,-0.0041131750
2010-07-06,0.0178473685,-0.0119357146,-0.0111430716,-0.0156965610,-0.0009177569
2010-07-07,0.0184212886,-0.0013758000,0.0028083175,-0.0116957603,0.0078432113
2010-07-08,0.0028495088,0.0014642497,0.0089508276,0.0043364814,0.0013895514
2010-07-12,-0.0079672793,0.0029606605,-0.0011495198,0.0020008837,0.0051858090
2010-07-13,0.0098439362,-0.0046854671,-0.0100576477,-0.0065083168,0.0003938237
2010-07-14,-0.0043610195,0.0111678056,-0.0004489787,0.0015600289,0.0121412650
2010-07-15,-0.0012578863,0.0041537178,0.0045807743,0.0037179631,0.0055864947
2010-07-16,-0.0155147491,0.0102928542,-0.0025984487,0.0127342418,-0.0042516021
2010-07-19,0.0138482898,-0.0059724506,0.0016377987,-0.0103981681,0.0045099305
2010-07-20,0.0167436060,-0.0115754632,-0.0003603147,-0.0136758573,-0.0039490433
2010-07-21,-0.0013990537,0.0032447150,0.0042694146,0.0033622736,0.0006549265
2010-07-22,0.0189186241,0.0001661573,0.0039527528,-0.0028431416,0.0097596282
2010-07-23,0.0052012401,-0.0002987590,0.0000746790,-0.0050891698,0.0026567276
2010-07-26,0.0011152679,-0.0021950761,0.0044299709,0.0018603307,-0.0029551536
2010-07-27,0.0013022658,-0.0064925840,-0.0060011670,-0.0042996039,0.0053630760
2010-07-28,0.0059527024,0.0002204163,0.0022552270,-0.0051493696,-0.0000933101
2010-07-29,0.0002850203,0.0083092488,-0.0086002843,-0.0026174793,0.0034034643
2010-07-30,0.0063084639,0.0024653729,-0.0018881401,0.0005776146,0.0048309155
2010-08-02,0.0125561384,-0.0037766411,0.0069502797,-0.0009201393,-0.0036921292
2010-08-03,-0.0073511521,0.0022631851,-0.0115485229,0.0057889195,-0.0027998379
2010-08-04,0.0018976530,0.0009731953,-0.0004650233,0.0020018523,0.0065586464
2010-08-05,0.0026586603,-0.0004429803,0.0020601926,0.0082843676,-0.0045997016
2010-08-06,-0.0045327181,0.0056919963,0.0059722951,0.0043413988,-0.0029701137
2010-08-09,-0.0030788905,0.0053667389,0.0014913031,0.0013180914,0.0101975100
2010-08-10,-0.0092747929,0.0061740940,-0.0037089405,0.0045980061,-0.0005183201
2010-08-11,-0.0190771576,-0.0013191421,-0.0077995416,0.0073338104,-0.0025543785
2010-08-12,0.0042629945,-0.0007853725,-0.0042870631,0.0008696583,-0.0006003408
2010-08-13,0.0020712710,0.0054235347,0.0099243131,0.0110964393,-0.0089402189
2010-08-16,0.0063965521,-0.0006403984,-0.0032784580,-0.0064931582,0.0062439116
2010-08-17,0.0101083415,0.0062637236,-0.0010384880,-0.0039096121,0.0088260397
2010-08-18,0.0000457079,0.0065454431,0.0089861890,-0.0010289592,0.0013025482
2010-08-19,-0.0104623428,0.0027356199,-0.0044641485,0.0041784863,0.0086393217
2010-08-20,-0.0017329589,-0.0035455064,-0.0092932265,0.0014753055,-0.0025642095
2010-08-23,-0.0092508271,0.0107320566,-0.0007459815,0.0092535987,0.0018874868
2010-08-24,-0.0124634840,0.0018257564,-0.0005116491,-0.0012511835,0.0027848552
2010-08-25,-0.0064038229,-0.0026436406,-0.0013144091,-0.0012716926,-0.0011164704
2010-08-26,-0.0120623587,0.0141578820,-0.0034134616,0.0158772841,0.0010213542
2010-08-27,0.0252654087,-0.0082883444,0.0087703746,-0.0009112172,-0.0086006988
2010-08-30,-0.0193011872,0.0125962729,-0.0083331149,0.0053563677,0.0058690249
2010-08-31,0.0152406441,-0.0060293740,0.0036297236,-0.0116435820,0.0078858286
2010-09-01,0.0252574440,-0.0127123501,0.0050945953,-0.0073083565,-0.0103774322
2010-09-02,-0.0052271406,0.0079719014,-0.0024156587,0.0059056510,-0.0070742238
2010-09-03,-0.0002114058,0.0013253943,-0.0093669528,0.0053492477,0.0016013365
2010-09-06,-0.0002332949,-0.0000776089,-0.0010950217,0.0039748088,-0.0000748236
2010-09-08,-0.0060831825,-0.0023312906,0.0000130658,-0.0015656869,-0.0061033461
