,MKT,SMB,HML,IML,WML,BAB
2011-01-03,,,,0.018676126343399647,-0.012548177366399021,
2011-01-04,,,,0.0030408902464729637,0.013845311213460507,
2011-01-05,,,,-0.004032582499192229,-0.004444120230756477,
2011-01-06,,,,0.02132082801130065,-0.015775149370854065,
2011-01-07,,,,0.0017207042490762527,0.0060406587645569975,
2011-01-10,,,,-0.0004401735071794348,0.0015631492445578046,
2011-01-11,,,,-0.0017161185436839616,-0.0006494919968816114,
2011-01-12,,,,-0.00530175371521119,0.0019380190921970148,
2011-01-13,,,,0.022021403135625818,-0.010458694755593367,
2011-01-14,,,,0.0051451635447993934,-0.005163326631796232,
2011-01-17,,,,0.00560449951131343,0.006100488578192062,
2011-01-18,,,,0.005010492180168812,-0.0044231556739730326,
2011-01-19,,,,0.0012815661493991316,-0.002379064724088352,
2011-01-20,,,,0.0073205294631747304,-0.0007641309776600905,
2011-01-21,,,,-0.0012374788785944248,0.0011869395364970722,
2011-01-24,,,,0.021864279190178876,-0.018875699699248936,
2011-01-25,,,,0.0,0.0,
2011-01-26,,,,-0.002073147962265747,0.0051551357669268535,
2011-01-27,,,,-0.0062468316101147656,0.008063892052324637,
2011-01-28,,,,-0.00023055527737497056,-0.00923312151485569,
2011-01-31,,,,0.004964092786138978,0.010000103525122424,
2011-02-01,,,,0.1532565817070739,0.13304323062171322,0.0007515935283939068
2011-02-02,,,,0.010123511516794808,-0.005758004238230051,0.021227402183306772
2011-02-03,,,,0.1296426152717608,0.1512616104720395,-0.0038539409846162593
2011-02-04,,,,0.004250957681408873,0.006285305470291248,0.0053268672246195095
2011-02-07,,,,0.009462104695452236,-0.019027224635660415,-0.005961772171195787
2011-02-08,,,,0.13069956755888906,0.14798115875060644,-0.003399406814265014
2011-02-09,,,,0.006510381967815804,0.001606344992509303,0.007115040214839646
2011-02-10,,,,-0.0023060484572337055,-0.0023139085445706238,0.009514609357253224
2011-02-11,,,,0.002329791249453126,-0.011933985144670391,-0.013597023914894861
2011-02-14,,,,0.005233276902630037,-0.003689702518308125,-0.006621509570589734
2011-02-15,,,,0.0052192384706917444,0.0011435799482686995,-0.0005308909966306175
2011-02-16,,,,0.00045726783451060377,0.01112028831894951,-0.005630596178466464
2011-02-17,,,,-0.009839683349341556,-0.0017945741967720866,0.014801146180644268
2011-02-18,,,,-0.009848964113841195,-0.008248924297293722,0.00806267095738384
2011-02-21,,,,-0.00043472237073584503,0.006872108924501805,0.001859427635885879
2011-02-22,,,,0.0010476372784011603,0.004942764655079099,0.007357724858906383
2011-02-23,,,,-0.006468715685378677,0.00392451703837556,0.0021130490533717294
2011-02-24,,,,0.0,0.0,0.0
2011-02-25,,,,-0.008931845789305408,-0.006955413882416495,-0.008146537384661059
2011-02-28,,,,0.006512235319480721,-0.000313779200127047,-0.005523123664746599
2011-03-01,,,,0.0035132748098981315,0.0029241289008987495,0.007987922860306676
2011-03-02,,,,-0.0013833612736349633,0.0025768157209940332,-0.004794110909990464
2011-03-03,,,,0.0026726898979688354,-0.0012490990751420246,0.002875750577683923
2011-03-04,,,,-0.002023964396942349,0.0005158113081246828,0.004029152970594908
2011-03-07,,,,0.0,0.0,0.0
2011-03-08,,,,0.0,0.0,0.0
2011-03-09,,,,0.0,0.0,0.0
2011-03-10,,,,-0.011018262531216301,0.0010129916578630917,0.0006988647445045661
2011-03-11,,,,0.00013475594111880644,-0.0033494080533893154,0.0016613112941598219
2011-03-14,,,,-0.007397424676299187,0.004689168707219228,0.002474772146212627
2011-03-15,,,,-0.008325760687933417,-0.0040416064903288085,0.0014458734537987309
2011-03-16,,,,0.013638135176137666,-0.018511110777801765,-0.00838924360959583
