,factor,long,short
1994-01-03,-0.01672333,0.0,0.01672333
1994-01-04,0.037236504614096305,0.0539331746140963,0.01669667
1994-01-05,0.034479909360118084,0.051173239360118083,0.01669333
1994-01-06,0.03816301236214465,0.05485634236214465,0.01669333
1994-01-07,0.05579649621469513,0.07248982621469513,0.01669333
1994-01-10,0.023192452232206544,0.039882452232206544,0.01669
1994-01-11,-0.004581904739761215,0.012111425260238784,0.01669333
1994-01-12,0.05311127898211338,0.06980460898211338,0.01669333
1994-01-13,0.03046959890650355,0.04716626890650355,0.01669667
1994-01-14,-0.03557134839012039,-0.01887134839012039,0.0167
1994-01-17,0.06858398127767823,0.08528398127767822,0.0167
1994-01-18,-0.003996363052462079,0.012706966947537923,0.016703330000000002
1994-01-19,0.04260063738054083,0.05993063738054083,0.01733
1994-01-20,0.05696908443462807,0.07429908443462807,0.01733
1994-01-21,-0.018054952865232,-0.0007249528652319981,0.01733
1994-01-24,-0.016749670093119274,0.0005803299068807277,0.01733
1994-01-25,,,0.01733
1994-01-26,0.004190176533926997,0.022186846533926996,0.01799667
1994-01-27,-0.04693697884878984,-0.028940308848789842,0.01799667
1994-01-28,-0.011133656381254506,0.006866343618745496,0.018000000000000002
1994-01-31,0.0565791678301162,0.0745791678301162,0.018000000000000002
1994-02-01,0.09645720992847354,0.11652720992847354,0.02007
1994-02-02,-0.024668865997012124,-0.0045955359970121235,0.02007333
1994-02-03,-0.05007511600231212,-0.030008446002312117,0.02006667
1994-02-04,0.008615647984286552,0.028682317984286554,0.02006667
1994-02-07,0.013461773799233773,0.033361773799233774,0.0199
1994-02-08,0.026412770185823817,0.04630610018582382,0.01989333
1994-02-09,-0.00108367994703688,0.01880632005296312,0.01989
1994-02-10,0.08645027330387264,0.10633360330387265,0.019883329999999998
1994-02-11,0.014805647079101127,0.034468977079101126,0.01966333
1994-02-16,,,0.01966333
1994-02-17,-0.014351373393554544,0.005311956606445456,0.01966333
1994-02-18,-0.11188454755629058,-0.09222787755629058,0.01965667
1994-02-21,-0.03690722392842512,-0.017250553928425116,0.01965667
1994-02-22,0.11505223897584893,0.13471890897584893,0.01966667
1994-02-23,-0.010233911683509213,0.008826088316490788,0.01906
1994-02-24,-0.0802076952022577,-0.06114769520225771,0.01906
1994-02-25,-0.008732700948929105,0.010320629051070895,0.01905333
1994-02-28,0.02617467239229666,0.04522467239229666,0.01905
1994-03-01,0.0021011713176318433,0.018407841317631846,0.016306670000000002
1994-03-02,-0.06456574169436496,-0.04826241169436496,0.01630333
1994-03-03,0.007485264055922595,0.023788594055922596,0.01630333
1994-03-04,0.04890651415341115,0.06521318415341115,0.016306670000000002
1994-03-07,0.05541687076666298,0.07172354076666299,0.016306670000000002
1994-03-08,-0.007834885097429717,0.008878444902570282,0.01671333
1994-03-09,0.02941988392434627,0.04624321392434627,0.01682333
1994-03-10,-0.011516655264409835,0.005316674735590166,0.01683333
1994-03-11,-0.015415936932570377,0.0014207330674296248,0.01683667
1994-03-14,0.031154044390865478,0.048080714390865475,0.016926669999999998
1994-03-15,-0.0009898284427473404,0.01594350155725266,0.01693333
1994-03-16,0.02563088567905444,0.04256421567905444,0.01693333
1994-03-17,-0.02729635567512967,-0.010366355675129668,0.01693
1994-03-18,-0.06167270758214434,-0.04448270758214434,0.01719
1994-03-21,-0.06379934139476001,-0.04580267139476002,0.01799667
1994-03-22,0.04624707585322908,0.06507707585322908,0.01883
1994-03-23,0.027121565583210088,0.04595489558321009,0.01883333
1994-03-24,-0.046445499508026525,-0.02761882950802652,0.01882667
1994-03-25,0.04110026402959556,0.05993026402959556,0.01883
1994-03-28,-0.011862669035804348,0.00699066096419565,0.018853329999999998
1994-03-29,-0.03824699112018056,-0.019396991120180562,0.01885
1994-03-30,0.03195887984930136,0.05191554984930136,0.01995667
1994-04-04,-0.12666462006661677,-0.10596462006661678,0.0207
1994-04-05,0.03322786874538739,0.05387453874538739,0.02064667
1994-04-06,-0.015394569159663883,0.005252100840336116,0.02064667
1994-04-07,0.006773569626654586,0.027446899626654586,0.02067333
1994-04-08,0.021699083586979313,0.042375753586979314,0.02067667
1994-04-11,0.05880814152031217,0.07948481152031217,0.02067667
1994-04-12,-0.027120637380862855,-0.0064473073808628545,0.02067333
1994-04-13,-0.07901196847463346,-0.058341968474633465,0.02067
1994-04-14,-0.050614503749144446,-0.029947833749144448,0.020666669999999998
1994-04-15,-0.06236095282676013,-0.04169428282676013,0.020666669999999998
1994-04-18,-0.04996916906931583,-0.02930583906931583,0.02066333
1994-04-19,-0.06027173432808751,-0.03961173432808751,0.020659999999999998
1994-04-20,-0.0665374137032456,-0.0459274137032456,0.02061
1994-04-22,0.0859516386932164,0.10632496869321639,0.02037333
1994-04-25,0.07250853329781491,0.09244520329781492,0.01993667
1994-04-26,0.0012472527303163151,0.020817252730316316,0.01957
1994-04-27,-0.005888897773535018,0.013447772226464982,0.01933667
1994-04-28,0.02306416606607496,0.04205083606607496,0.01898667
1994-04-29,0.002556113693618415,0.021342783693618417,0.018786670000000002
1994-05-02,-0.007556938926137739,0.010126391073862262,0.01768333
1994-05-03,-0.06237004598944722,-0.044793375989447215,0.017576670000000003
1994-05-04,-0.06286599034278993,-0.04525599034278993,0.01761
1994-05-05,-0.09761414141182867,-0.07999747141182867,0.01761667
1994-05-06,0.025446915092127653,0.04309691509212765,0.01765
1994-05-09,-0.0762576277155451,-0.05859762771554511,0.01766
1994-05-10,0.07092735844975182,0.08876068844975182,0.01783333
1994-05-11,-0.019267405952236805,-0.0012274059522368042,0.01804
