,MKT,SMB,HML,IML,WML,BAB
2010-01-04,0.0,,,,,
2010-01-05,0.0027839246198873013,,,,,
2010-01-06,0.006961845102505748,,,,,
2010-01-07,-0.0039304952706810115,,,,,
2010-01-08,-0.0026685213836566968,,,,,
2010-01-11,0.002419481092466924,,,,,
2010-01-12,-0.0050686467990856965,,,,,
2010-01-13,0.004409498259033029,,,,,
2010-01-14,-0.008297222419549666,,,,,
2010-01-15,-0.011790662024899312,,,,,
2010-01-18,0.00613239003740329,,,,,
2010-01-19,0.00731977925390126,,,,,
2010-01-20,-0.024446065599565192,,,,,
2010-01-21,-0.028299120234604125,,,,,
2010-01-22,-0.0007544892108042323,,,,,
2010-01-26,-0.010510419812745364,,,,,
2010-01-27,-0.006928758928026357,,,,,
2010-01-28,0.007960657753188771,,,,,
2010-01-29,-0.0028358846130389637,,,,,
2010-02-01,0.017889361181615326,,,,,
2010-02-02,0.008877606200805133,,,,,
2010-02-03,-0.0008040141149144864,,,,,
2010-02-04,-0.04731109091180019,,,,,
2010-02-05,-0.01831576313072858,,,,,
2010-02-08,0.006213852110319884,,,,,
2010-02-09,0.024781087200924645,,,,,
2010-02-10,0.005145400043264692,,,,,
2010-02-11,0.016571613042074773,,,,,
2010-02-12,-0.004143416655325249,,,,,
2010-02-17,0.02171437248500485,,,,,
2010-02-18,0.008189046592851357,,,,,
2010-02-19,-0.0035232030190459618,,,,,
2010-02-22,-0.006109738597866787,,,,,
2010-02-23,-0.016015718028101977,,,,,
2010-02-24,-0.004734676589822739,,,,,
2010-02-25,0.004954783798160944,,,,,
2010-02-26,0.005777287094871575,,,,,
2010-03-01,0.010901763830203137,,,,,
2010-03-02,0.008195989766168754,,,,,
2010-03-03,-0.002036028858495964,,,,,
2010-03-04,0.0025724043109947026,,,,,
2010-03-05,0.015217872152178735,,,,,
2010-03-08,-0.003950789431638291,,,,,
2010-03-09,0.014597156398104216,,,,,
2010-03-10,0.005792227204783229,,,,,
2010-03-11,-0.0013432601208933637,,,,,
2010-03-12,-0.0077842169278099504,,,,,
2010-03-15,-0.004571609870062443,,,,,
2010-03-16,0.013299721835883238,,,,,
2010-03-17,-0.003131165823110571,,,,,
2010-03-18,-0.0003729042066462629,,,,,
2010-03-19,-0.012453907628735772,,,,,
2010-03-22,0.003094625811794538,,,,,
2010-03-23,0.004996958373164162,,,,,
2010-03-24,-0.006831250810670597,,,,,
2010-03-25,-0.006834704627573851,,,,,
2010-03-26,0.003521229654305902,,,,,
2010-03-29,0.01828691233638602,,,,,
2010-03-30,0.0003002616565863647,,,,,
2010-03-31,0.005889079473985204,,,,,
2010-04-01,0.010856590689478862,,,,,
2010-04-05,0.002164867296446271,,,,,
2010-04-06,-0.0027212792818066545,,,,,
2010-04-07,-0.004261843141667554,,,,,
2010-04-08,0.014012684869973091,,,,,
2010-04-09,-0.005126419168349883,,,,,
2010-04-12,-0.011243821499082873,,,,,
2010-04-13,0.002520746594159906,,,,,
2010-04-14,0.0034325912532489067,,,,,
2010-04-15,-0.007193636939536896,,,,,
2010-04-16,-0.015640065793205205,,,,,
2010-04-19,-0.004652770775413817,,,,,
2010-04-20,0.003183883759298345,,,,,
2010-04-22,0.0009809861796359343,,,,,
2010-04-23,0.0017726918975009553,,,,,
2010-04-26,-0.009164280884489728,,,,,
2010-04-27,-0.03428098501568122,,,,,
2010-04-28,0.002180090511344046,,,,,
2010-04-29,0.019833173307729268,,,,,
2010-04-30,-0.006590367471829173,,,,,
2010-05-03,-0.0060861839182585475,,,,,
2010-05-04,-0.03352254950163147,,,,,
2010-05-05,0.0006937057762568255,,,,,
2010-05-06,-0.023107496071725686,,,,,
2010-05-07,-0.008562777935471666,,,,,
2010-05-10,0.0410682190517091,,,,,
2010-05-11,-0.015705926389928626,,,,,
2010-05-12,0.012402017850213332,,,,,
2010-05-13,-0.006684655954863228,,,,,
2010-05-14,-0.021238500956967332,,,,,
2010-05-17,-0.008610357661010482,,,,,
2010-05-18,-0.032211370216015056,,,,,
2010-05-19,-0.01893460002301084,,,,,
