,codigo,fundo,data,cota,variacao,captacao,resgate,patrimonio_liquido,cotistas
2005-03-01,25208,DYNAMO COUGAR FUNDO DE INVESTIMENTO EM AÇÕES,2005-03-01,89.114158676,,0.0,0.0,536497726.31,587
2005-03-02,25208,DYNAMO COUGAR FUNDO DE INVESTIMENTO EM AÇÕES,2005-03-02,89.328621145,0.002406603756197,0.0,0.0,537788863.75,587
2005-03-03,25208,DYNAMO COUGAR FUNDO DE INVESTIMENTO EM AÇÕES,2005-03-03,90.86089416700001,0.017153214751997,0.0,0.0,547013671.62,587
2005-03-04,25208,DYNAMO COUGAR FUNDO DE INVESTIMENTO EM AÇÕES,2005-03-04,91.825878355,0.010620456653513001,0.0,0.0,552823206.61,587
2005-03-05,25208,DYNAMO COUGAR FUNDO DE INVESTIMENTO EM AÇÕES,2005-03-04,91.825878355,0.010620456653513001,0.0,0.0,552823206.61,587
2005-03-06,25208,DYNAMO COUGAR FUNDO DE INVESTIMENTO EM AÇÕES,2005-03-04,91.825878355,0.010620456653513001,0.0,0.0,552823206.61,587
2005-03-07,25208,DYNAMO COUGAR FUNDO DE INVESTIMENTO EM AÇÕES,2005-03-07,93.06660361799999,0.013511716797343,0.0,547071.49,559742303.73,586
2005-03-08,25208,DYNAMO COUGAR FUNDO DE INVESTIMENTO EM AÇÕES,2005-03-08,92.894904056,-0.0018449105836589998,0.0,0.0,558709629.23,586
2005-03-09,25208,DYNAMO COUGAR FUNDO DE INVESTIMENTO EM AÇÕES,2005-03-09,93.393625128,0.005368659099958,0.0,0.0,561709150.77,586
2005-03-10,25208,DYNAMO COUGAR FUNDO DE INVESTIMENTO EM AÇÕES,2005-03-10,91.795704177,-0.017109529144093,0.0,0.0,552098571.68,586
2005-03-11,25208,DYNAMO COUGAR FUNDO DE INVESTIMENTO EM AÇÕES,2005-03-11,91.959260316,0.001781740664951,0.0,0.0,553082268.16,586
2005-03-12,25208,DYNAMO COUGAR FUNDO DE INVESTIMENTO EM AÇÕES,2005-03-11,91.959260316,0.001781740664951,0.0,0.0,553082268.16,586
2005-03-13,25208,DYNAMO COUGAR FUNDO DE INVESTIMENTO EM AÇÕES,2005-03-11,91.959260316,0.001781740664951,0.0,0.0,553082268.16,586
2005-03-14,25208,DYNAMO COUGAR FUNDO DE INVESTIMENTO EM AÇÕES,2005-03-14,91.044234823,-0.009950335505698,0.0,63820.97,547514672.7,585
2005-03-15,25208,DYNAMO COUGAR FUNDO DE INVESTIMENTO EM AÇÕES,2005-03-15,90.750351583,-0.0032279170731820002,0.0,0.0,545747340.73,585
2005-03-16,25208,DYNAMO COUGAR FUNDO DE INVESTIMENTO EM AÇÕES,2005-03-16,90.100249567,-0.007163630825225001,0.0,86626.53,541750141.89,584
2005-03-17,25208,DYNAMO COUGAR FUNDO DE INVESTIMENTO EM AÇÕES,2005-03-17,90.04778976,-0.000582238198586,0.0,0.0,541434714.26,584
2005-03-18,25208,DYNAMO COUGAR FUNDO DE INVESTIMENTO EM AÇÕES,2005-03-18,89.80328629600001,-0.002715263357953,0.0,0.0,539964576.42,584
2005-03-19,25208,DYNAMO COUGAR FUNDO DE INVESTIMENTO EM AÇÕES,2005-03-18,89.80328629600001,-0.002715263357953,0.0,0.0,539964576.42,584
2005-03-20,25208,DYNAMO COUGAR FUNDO DE INVESTIMENTO EM AÇÕES,2005-03-18,89.80328629600001,-0.002715263357953,0.0,0.0,539964576.42,584
