ticker_id,company_id,codigo_cvm,codigo_negociacao
211,156,11975,$AZEV3
199,2252,11991,$MWET3
200,2252,11991,$MWET4
214,323,12190,$BOBR3
215,323,12190,$BOBR4
203,1230,12319,$JBDU3
568,3371,12530,$ITEC3
212,1789,12572,$RCSL3
213,1789,12572,$RCSL4
605,1336,12653,$KLBN11
206,1886,12696,$SNSY5
207,1886,12696,$SNSY6
208,1886,12696,$SNSY3
569,3172,12793,$FIBR3
209,1955,12823,$APTI3
210,1955,12823,$APTI4
438,1322,13285,$JOPA
442,1322,13285,$JOPA3
443,1322,13285,$JOPA4
218,1149,13366,$2
216,1509,13439,$RSUL3
217,1509,13439,$RSUL4
219,1719,13447,$PPAR3
222,1704,13471,$13471
224,1704,13471,$BOLSA
223,1525,13765,$MNPR3
230,1665,13773,$PTBL3
229,1902,13781,$SCAR3
220,487,13854,$713854
243,2029,13986,$SUZB3
241,1775,14109,$RAPT3
242,1775,14109,$RAPT4
570,3912,14133,$TOYB3
571,3912,14133,$TOYB4
231,944,14176,$ELPL3
234,385,14206,$BSLI03
235,385,14206,$BSLI04
237,739,14311,$CPLE3
238,739,14311,$CPLE6
239,739,14311,$CPLE4
240,739,14311,$CPLE5
244,2195,14320,$USIM3
246,2195,14320,$USIM6
247,2195,14320,$USIM5
232,2253,14346,$WHRL3
233,2253,14346,$WHRL4
226,553,14362,$CEPE3
227,553,14362,$CEPE5
228,553,14362,$CEPE6
236,616,14443,$SBSP3
253,730,14451,$CEBR3
254,730,14451,$CEBR5
255,730,14451,$CEBR6
265,847,14460,$CYRE3
250,550,14524,$CEEB3
251,550,14524,$CEEB5
252,550,14524,$CEEB6
440,973,14605,$ENMT3
441,973,14605,$ENMT4
256,1915,14664,$SHUL3
257,1915,14664,$SHUL4
261,566,14761,$HGTX3
248,667,14818,$CMFA3
249,667,14818,$CMFA4
269,715,14826,$PCAR3
270,715,14826,$PCAR4
258,551,14869,$COCE3
259,551,14869,$COCE5
445,1937,14966,$00000
446,1338,15083,$LOAR11
447,1379,15091,$007424
271,977,15253,$ENGI3
272,977,15253,$ENGI4
601,977,15253,$ENGI11
263,1028,15369,$VSPT3
264,1028,15369,$VSPT4
260,140,15423,$ATOM3
267,266,15458,$1545-8
451,1574,15539,$NEOE
453,1574,15539,$NEOE3
448,724,15636,$CGAS3
449,724,15636,$CGAS5
262,937,15784,$LIPR3
280,1092,16101,$GAFS3
572,3105,16209,$ETRO3B
450,3,16284,$QVQP3B
284,387,16292,$BRFS3
281,1837,16306,$RSID3
452,2012,16438,$OPTS3B
277,965,16497,$ECPR3
278,965,16497,$ECPR4
454,327,16560,$BNPA3B
455,2009,16586,$OPSE3B
456,993,16608,$ENMA3B
268,646,16616,$CEGR3
457,2185,16624,$UPKP3B
274,1130,16632,$GPCP3
279,1130,16632,$GPCP4
282,1726,16659,$PSSA3
458,55,16705,$ALEF3B
275,533,16861,$CASN3
276,533,16861,$CASN4
459,1624,16942,$OPHE3B
283,953,16993,$EMAE4
287,985,17329,$EGIE3
573,3731,17337,$OPRE3B
423,2263,17361,$ESVUFR
460,1091,17388,$FTRT3B
574,3959,17418,$TLVT3B
575,3431,17434,$SPRT3B
299,1848,17450,$RAIL3
285,936,17485,$EKTR3
286,936,17485,$EKTR4
576,2746,17493,$CPTP3B
462,1578,17540,$NEWT3B
577,3332,17558,$SLCTB3
291,2121,17639,$TIMP3
297,2077,17671,$VIVT4
298,2077,17671,$VIVT3
461,296,17884,$BETP3B
464,1899,17892,$STBP3
302,1528,17914,$MMXM3
292,382,17922,$BFRE3
293,382,17922,$BFRE12
294,382,17922,$BFRE11
466,1546,17949,$MRSA3
467,1546,17949,$MRSA5
468,1546,17949,$MRSA6
463,1097,17965,$OPGM3B
316,693,17973,$KROT3
319,693,17973,$COGN3
288,554,18139,$CSRN3
