Id,Nome,Descricao,Ticker,Version,VersionType,ExchangeId,InternalSymbol,InternalCryptoType,CotacaoAtivo,CodigoISINPapel,ElasticSearchId
186,ELECTRO AÇO ALTONA S.A.,NULL,$EALT3,92,I,5,EALT3,NULL,1,BREALTACNOR4,vFNVOXIBooXOYNzvzPkc
187,ELECTRO AÇO ALTONA S.A.,NULL,$EALT4,92,I,5,EALT4,NULL,1,BREALTACNPR1,vVNVOXIBooXOYNzvzPmr
188,ELEKEIROZ S.A.,NULL,$ELEK4,92,I,5,ELEK4,NULL,1,BRELEKACNPR2,VVRXOXIBooXOYNzvfANL
189,ELEKEIROZ S.A.,NULL,$ELEK3,92,I,5,ELEK3,NULL,1,BRELEKACNOR5,U1RXOXIBooXOYNzvfANL
190,ELEKTRO REDES S.A.,NULL,$EKTR4,92,I,5,EKTR4,NULL,1,BREKTRACNPR7,TlRXOXIBooXOYNzveQPz
191,ELEKTRO REDES S.A.,NULL,$EKTR3,92,I,5,EKTR3,NULL,1,BREKTRACNOR0,TVRXOXIBooXOYNzveQO3
192,ELETROBRAS S.A.,NULL,$ELET3,92,I,5,ELET3,NULL,1,BRELETACNOR6,W1RXOXIBooXOYNzvfAPP
193,ELETROBRAS S.A.,NULL,$ELET5,92,I,5,ELET5,NULL,1,BRELETACNPA9,XFRXOXIBooXOYNzvfQMG
194,ELETROBRAS S.A.,NULL,$ELET6,92,I,5,ELET6,NULL,1,BRELETACNPB7,XVRXOXIBooXOYNzvfQM6
195,ELETROPAR - ELETROBRAS PART.,NULL,$LIPR3,92,I,5,LIPR3,NULL,1,BRLIPRACNOR7,a1RsOXIBooXOYNzvqX7C
196,ELETROPAULO S.A.,NULL,$ELPL3,92,I,5,ELPL3,NULL,1,BRELPLACNOR9,cVRZOXIBooXOYNzvPg3s
197,ELETROPAULO S.A.,NULL,$ELPL4,92,I,5,ELPL4,NULL,1,NULL,clRZOXIBooXOYNzvPw0g
198,EMAE S.A.,NULL,$EMAE4,92,I,5,EMAE4,NULL,1,BREMAEACNPR1,e1RZOXIBooXOYNzvQQ0G
199,EMAE S.A.,NULL,$EMAE3,92,I,5,EMAE3,NULL,1,BREMAEACNOR4,elRZOXIBooXOYNzvQA3g
200,EMBRAER S.A.,NULL,$EMBR3,92,I,5,EMBR3,NULL,1,BREMBRACNOR4,gFRZOXIBooXOYNzvQg1G
201,ENCORPAR S.A.,NULL,$ECPR3,92,I,5,ECPR3,NULL,1,BRECPRACNOR5,uVNWOXIBooXOYNzve_3B
202,ENCORPAR S.A.,NULL,$ECPR4,92,I,5,ECPR4,NULL,1,BRECPRACNPR2,vFNWOXIBooXOYNzve_3C
203,ENERGISA MATO GROSSO S.A.,NULL,$ENMT3,92,I,5,ENMT3,NULL,1,BRENMTACNOR5,XFRbOXIBooXOYNzvLxg2
204,ENERGISA MATO GROSSO S.A.,NULL,$ENMT4,92,I,5,ENMT4,NULL,1,BRENMTACNPR2,XVRbOXIBooXOYNzvLxhq
205,ENERGISA S.A.,NULL,$ENGI11,92,I,5,ENGI11,NULL,1,BRENGICDAM16,8FRaOXIBooXOYNzv6xbA
206,ENERGISA S.A.,NULL,$ENGI12,92,I,5,ENGI12,NULL,1,BRENGIN01M19,8VRaOXIBooXOYNzv6xb-
207,ENERGISA S.A.,NULL,$ENGI3,92,I,5,ENGI3,NULL,1,BRENGIACNOR0,8lRaOXIBooXOYNzv7BY3
208,ENERGISA S.A.,NULL,$ENGI4,92,I,5,ENGI4,NULL,1,BRENGIACNPR7,81RaOXIBooXOYNzv7BZx
209,ENEVA S.A.,NULL,$ENEV3,92,I,5,ENEV3,NULL,1,BRENEVACNOR8,ZlRaOXIBooXOYNzvpxUw
210,EQUATORIAL ENERGIA S.A.,NULL,$EQTL3,92,I,5,EQTL3,NULL,1,BREQTLACNOR0,0lRbOXIBooXOYNzvQBho
211,ESTACIO PARTICIPAÇÕES S.A.,NULL,$ESTC3,92,I,5,ESTC3,NULL,1,BRESTCACNOR5,I1RcOXIBooXOYNzvMB51
212,ETERNIT S.A.,NULL,$ETER3,92,I,5,ETER3,NULL,1,BRETERACNOR3,3lRcOXIBooXOYNzvfx9k
213,EUCATEX S.A.,NULL,$EUCA4,92,I,5,EUCA4,NULL,1,BREUCAACNPR8,_1RcOXIBooXOYNzvhh9g
214,EUCATEX S.A.,NULL,$EUCA3,92,I,5,EUCA3,NULL,1,BREUCAACNOR1,_lRcOXIBooXOYNzvhh8x
215,EVEN S.A.,NULL,$EVEN3,92,I,5,EVEN3,NULL,1,BREVENACNOR8,IVRcOXIBooXOYNzvjSCt
216,EXCELSIOR ALIMENTOS S.A..,NULL,$BAUH3,92,I,5,BAUH3,NULL,1,BRBAUHACNOR6,xlM-OXIBooXOYNzvG24H
217,EXCELSIOR ALIMENTOS S.A..,NULL,$BAUH4,92,I,5,BAUH4,NULL,1,BRBAUHACNPR3,v1M-OXIBooXOYNzvGm79
218,EZ TEC S.A.,NULL,$EZTC3,92,I,5,EZTC3,NULL,1,BREZTCACNOR0,a1RcOXIBooXOYNzvxCEo
