,tickers
410,AALR3
411,PARD3
412,AZUL4
413,CRFB3
414,IRBR3
415,CAML3
416,PRNR3
417,SMLS3
418,BRDT3
419,BKBR3
420,GNDI3
421,HAPV3
422,BIDI4
423,BIDI3
424,BMGB4
425,CNTO3
426,VAMO3
427,NTCO3
428,VIVA3
429,RDOR3
430,CEAB3
431,MTRE3
432,LWSA3
433,TIMS3
434,ALPK3
435,AMBP3
436,SIMH3
437,SOMA3
438,LJQQ3
439,DMVF3
440,LAVV3
441,PLPL3
442,PETZ3
443,CURY3
444,MELK3
445,BOAS3
446,SEQL3
447,GMAT3
448,TFCO4
449,CASH3
450,ENJU3
451,AVLL3
452,AERI3
453,RRRP3
454,ASAI3
455,NGRD3
456,HBRE3
457,ESPA3
458,INTB3
459,MBLY3
460,MOSI3
461,POWE3
462,JALL3
463,BMOB3
464,WEST3
465,CSED3
466,OPCT3
467,ORVR3
468,ELMD3
469,CMIN3
