,codigo_cvm,ticker,sector_id,data_referencia,demonstrativo_id,nome_demonstrativo,ativos,receita,custos,ROE,ROA,depreciacao,wc,capex
0,94,PATI3,1,2010-12-31,17012,dfp,278076,377666,-333640,0.0,0.0,1454000.0,100917000.0,15284000.0
1,94,PATI4,1,2010-12-31,17012,dfp,278076,377666,-333640,0.0,0.0,1454000.0,100917000.0,15284000.0
2,94,PATI3,1,2011-03-31,17031,itr,288183,90738,-82008,0.0,0.0,1454000.0,100917000.0,15284000.0
3,94,PATI4,1,2011-03-31,17031,itr,288183,90738,-82008,0.0,0.0,1454000.0,100917000.0,15284000.0
4,94,PATI3,1,2011-06-30,17048,itr,300932,94851,-85017,0.0,0.0,389000.0,-553000.0,1054000.0
5,94,PATI4,1,2011-06-30,17048,itr,300932,94851,-85017,0.0,0.0,389000.0,-553000.0,1054000.0
6,94,PATI3,1,2011-09-30,17063,itr,294125,94420,-88032,0.201896,0.103086,416000.0,-2786000.0,3243000.0
7,94,PATI4,1,2011-09-30,17063,itr,294125,94420,-88032,0.201896,0.103086,416000.0,-2786000.0,3243000.0
8,94,PATI3,1,2011-12-31,17078,dfp,294757,365581,-332571,0.0854027,0.0451907,444000.0,-5822000.0,1243000.0
9,94,PATI4,1,2011-12-31,17078,dfp,294757,365581,-332571,0.0854027,0.0451907,444000.0,-5822000.0,1243000.0
10,94,PATI3,1,2012-03-31,17099,itr,314589,89426,-80314,0.0840162,0.0442343,475000.0,-21093000.0,2114000.0
11,94,PATI4,1,2012-03-31,17099,itr,314589,89426,-80314,0.0840162,0.0442343,475000.0,-21093000.0,2114000.0
12,94,PATI3,1,2012-06-30,17116,itr,317416,91729,-81844,0.0715235,0.03712,1724000.0,-11932000.0,7654000.0
13,94,PATI4,1,2012-06-30,17116,itr,317416,91729,-81844,0.0715235,0.03712,1724000.0,-11932000.0,7654000.0
14,94,PATI3,1,2012-09-30,17134,itr,334048,97275,-85629,0.0850433,0.0438704,465000.0,7867000.0,4073000.0
15,94,PATI4,1,2012-09-30,17134,itr,334048,97275,-85629,0.0850433,0.0438704,465000.0,7867000.0,4073000.0
16,94,PATI3,1,2012-12-31,17151,dfp,345354,374837,-332657,0.089851,0.04554,487000.0,-4699000.0,2492000.0
17,94,PATI4,1,2012-12-31,17151,dfp,345354,374837,-332657,0.089851,0.04554,487000.0,-4699000.0,2492000.0
18,94,PATI3,1,2013-03-31,17170,itr,364638,96677,-86367,0.0860747,0.0426174,503000.0,11691000.0,3407000.0
19,94,PATI4,1,2013-03-31,17170,itr,364638,96677,-86367,0.0860747,0.0426174,503000.0,11691000.0,3407000.0
20,94,PATI3,1,2013-06-30,17189,itr,402654,111407,-98096,0.0908475,0.042117,537000.0,18513000.0,8280000.0
21,94,PATI4,1,2013-06-30,17189,itr,402654,111407,-98096,0.0908475,0.042117,537000.0,18513000.0,8280000.0
22,94,PATI3,1,2013-09-30,17207,itr,575164,120810,-108347,0.285576,0.122702,1992000.0,3654000.0,18252000.0
23,94,PATI4,1,2013-09-30,17207,itr,575164,120810,-108347,0.285576,0.122702,1992000.0,3654000.0,18252000.0
24,94,PATI3,1,2013-12-31,17225,dfp,582407,746372,-662521,0.247711,0.111984,552000.0,11244000.0,7038000.0
25,94,PATI4,1,2013-12-31,17225,dfp,582407,746372,-662521,0.247711,0.111984,552000.0,11244000.0,7038000.0
26,94,PATI3,1,2014-03-31,17243,itr,616541,202403,-179189,0.240575,0.114375,606000.0,5334000.0,529000.0
27,94,PATI4,1,2014-03-31,17243,itr,616541,202403,-179189,0.240575,0.114375,606000.0,5334000.0,529000.0
